用户名;评论内容;评论时间;IP属地;帖子账号粉丝数;一级账号粉丝数;评论属地;评论点赞数;发布时间;链接;发布者;评论数;点赞数;转发数;文本;发布者;评论文本;标记
James Lindsay Ford;He was the only reason I watched!;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
DA Hampton;He is weird! I’m glad that he doesn’t have new contract. I think Coach Saban is going to be so much better.;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Bob Smith;ESPN gets rid of non-conforming people.;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Billy Burke;College game day is all about hyping the crowd and reading teleprompter. Pat is perfect;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Darin Easter;I might actually start watching again;2024-06-18T22:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Ryan Lane;How he has stayed with espn as long as he has is amazing. I love the guy. Doesn’t conform….;2024-06-18T23:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Richie Allen;Eliminate the trash and make College Game Day great again!;2024-06-18T23:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Aaron Obrien;Bruh. The only reason MOST of us tuned in to watch is because of Pat. I get it from his point of view buuuuuut he’s changed the game.;2024-06-18T23:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Nate Bump;But Corso will still be there even though he won’t know he is there;2024-06-18T22:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Chuck Pantano;Good let him stay with WWE;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Caleb Norton;No matter what you do for a job there will always be people that you are not right for. It just the way of life.;2024-06-18T22:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Rachel Reid;"ESPN knew who they were getting.....it'
s simple he out ....if it's your own jig there are no boundaries except the the ones you i.pose on yourself..
ESPN contracts come w implied rules....along w the big dollar contract";2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Chris Weninger;He is a little more than I liked initially on gameday but I started liking him last year;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Dominic Nanni;He hasn't signed because he wasn't offered a new contract saban is taking his place.;2024-06-18T23:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Mark Gilliland;Have your own college game day .I'll watch;2024-06-18T22:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Miles Milo Burns;He been hosting WWE events too long;2024-06-18T23:40:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Mitchell Groenjes;We need mcafee on gameday;2024-06-18T23:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Amanda Greer;Peace out to him, for real ✌🏼✌🏼✌🏼 He’s awkward AF to watch a lot of the time 🥴;2024-06-18T23:48:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
James Zuck;Start your own.. 🤟 I'd watch;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Quin Madsen;Well, not watching college game day anymore. Love pat, he brings energy to the crowds he's at;2024-06-18T23:29:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Bradley Maravalli;He made college day fun! Hope he comes back around.;2024-06-18T23:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Randy Hill;I’m sure wwe is paying him enough not to care rather he resigns with espn or not;2024-06-18T23:39:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Jacob Novotny;There are distinguished college football fans?;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Lamya Shelly;I’m okay with him off the show.;2024-06-18T21:00:00;;;;;;2024-06-19T06:32:11;https://facebook.com/story.php?story_fbid=pfbid034mgjB33tDeoyZcDTrKKrb8vGUGEFUDWfUrSpFXThN469LfPSUsgya52Jw55uSnWVl&id=100067161452140;Sportskeeda Pro Football;234;379;43;"Pat McAfee has not signed a new “College GameDay’” contract with ESPN for the 2024 season.

McAfee says he has not signed because ""he is not right for some crowds and the ‘distinguished’ CFB folks are definitely one of those.""

#NFL #CollegeFootball #PatMcAfee";Sportskeeda Pro Football;;0
Mike Davidson;They own the NFL Network.;2024-06-18T23:51:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Nick Slota;He’s the worst commissioner the nfl has had in a while. He’s ruining it with all these streaming platforms no one can afford all of them so you have to pick and choose. He’s just worried bout money but not the fans.;2024-06-18T23:18:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Billy Chadwell;This clown has ruined the league. They would play flag football if he had his way;2024-06-18T23:20:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Derek Steadwell;I'm pretty sure it was sold to the highest bidder;2024-06-18T23:50:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Travis Sedlmeier;The quality is worse on Prime? 😂;2024-06-18T23:18:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Jeff Kelderman;Prime was terrible.;2024-06-18T23:43:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Timothy Spac;Nfl network is owned by the NFL or am I wrong so how's that happen;2024-06-18T23:14:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
John Cowardin;Pretty sure $$$ was a major factor.;2024-06-18T23:27:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Marvin Fete;Bullshit, it was the money. Seriously, how much money does the NFL need?!?!;2024-06-18T23:32:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Mario Lopez Sr.;That's bs, he's full of it;2024-06-18T23:21:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Alfredo San Miguel;Prime sucks!!;2024-06-18T23:16:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Emilio Vasquez;The bigger clown was the person to hire him.;2024-06-18T23:27:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Jeff Gaskill;It their own network!!! NFL Network!! Hello!!;2024-06-18T23:38:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Buffy Haugh Miller;It sucks on Prime!;2024-06-18T23:23:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Antwone Young;It's worse on prime 😂🤣🤣🤣;2024-06-18T23:25:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Keith Murrell;Roger Goddell when Noone is around;2024-06-18T23:38:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Mike Myers;And it worse now;2024-06-18T23:13:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Richard Weiss;They selling the network to espn... so;2024-06-18T23:14:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Quez Johnson Sr.;@ this point he’s doing whatever he wanna do 🤷🏾‍♂️, it’s time to have that get rid of this clown conversation;2024-06-18T23:54:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Mickey Evans;Suc a DIC Roger;2024-06-18T23:19:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Mike Jackson;Wasn't the sound off in most games on prime, and picture kept freezing the first 6 games... prime is low quality cheep tv.;2024-06-18T23:47:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
Richard Jones;Huh?;2024-06-18T23:14:00;;;;;;2024-06-19T09:32:43;https://facebook.com/story.php?story_fbid=pfbid0Y6sZXCpvNMXyk2mSa4zYeHxMDj654AXj9zZoubXvH2uzYgwTnqBnwDUHzhnRN1irl&id=100067161452140;Sportskeeda Pro Football;56;96;11;"While testifying on NFL Sunday Ticket, Roger Goodell said the reason the league sold the Thursday night games that were once exclusive to the NFL Network was because of the broadcast quality, which was ""below standards that the networks had set.""

Via Front Office Sports.

#NFL #TNF #RogerGoodell";Sportskeeda Pro Football;;0
